rssdid,namefull
852218,"Jpmorgan Chase Bank, National Association"
480228,"Bank Of America, National Association"
451965,"Wells Fargo Bank, National Association"
476810,"Citibank, National Association"
504713,U.S. Bank National Association
852320,Truist Bank
817824,"PNC Bank, National Association"
497404,"Td Bank, National Association"
112837,"Capital One, National Association"
541101,The Bank Of New York Mellon
3150447,"Charles Schwab Bank, SSB"
2182786,Goldman Sachs Bank Usa
35301,State Street Bank and Trust Company
413208,"Hsbc Bank Usa, National Association"
723112,"Fifth Third Bank, National Association"
3303298,"Citizens Bank, National Association"
3284070,Ally Bank
280110,Keybank National Association
1456501,"Morgan Stanley Bank, National Association"
75633,Bmo Harris Bank National Association
210434,The Northern Trust Company
233031,Regions Bank
501105,Manufacturers and Traders Trust Company
1394676,American Express National Bank
212465,"Mufg Union Bank, National Association"
4114567,First Republic Bank
12311,The Huntington National Bank
30810,Discover Bank
2253891,"Capital One Bank (Usa), National Association"
2489805,"Morgan Stanley Private Bank, National Association"
697633,Bbva Usa
619877,USAA Federal Savings Bank
804963,Bank Of The West
722777,"Santander Bank, N.A."
1216022,Synchrony Bank
802866,Silicon Valley Bank
60143,Comerica Bank
276579,"Zions Bancorporation, N.A."
3212149,Ubs Bank Usa
63069,City National Bank
613307,"People's United Bank, National Association"
2942690,Signature Bank
3918898,"Cit Bank, National Association"
908508,Bank Of China
694904,New York Community Bank
395238,Synovus Bank
940311,Banco Popular De Puerto Rico
370271,E*trade Bank
266271,TCF National Bank
197478,East West Bank
485559,First Horizon Bank
491224,First-Citizens Bank & Trust Company
339858,"Bokf, National Association"
214807,Deutsche Bank Trust Company Americas
2735146,"Tiaa, FSB"
229801,Valley National Bank
682563,Frost Bank
1842065,Cibc Bank Usa
1929247,"South State Bank, National Association"
379920,First National Bank Of Pennsylvania
2618780,"Texas Capital Bank, National Association"
917742,"Associated Bank, National Association"
3938186,"Bankunited, National Association"
808176,Iberiabank
463735,Hancock Whitney Bank
2925666,Pinnacle Bank
664756,Prosperity Bank
2980209,Barclays Bank Delaware
761806,"Webster Bank, National Association"
3138146,Western Alliance Bank
125471,Sterling National Bank
3394278,Sallie Mae Bank
601050,Commerce Bank
934329,"Bny Mellon, National Association"
936855,"UMB Bank, National Association"
143662,Umpqua Bank
2193616,"Raymond James Bank, National Association"
146672,"Flagstar Bank, FSB"
494261,Pacific Western Bank
35570,Investors Bank
107244,Bank Ozk
365325,United Bank
1893049,"Charles Schwab Premier Bank, SSB"
474919,"Fulton Bank, National Association"
595270,Midfirst Bank
527954,First National Bank Of Omaha
2121196,"Td Bank Usa, National Association"
311845,Arvest Bank
606046,Bancorpsouth Bank
980661,First Hawaiian Bank
288853,Firstbank
208244,Old National Bank
663245,Simmons Bank
1007846,First Midwest Bank
1443266,"Bank Of America California, National Association"
431172,Pacific Premier Bank
764030,Ameris Bank
795968,Bank Of Hawaii
693224,Atlantic Union Bank
595869,Cathay Bank
936462,Mechanics Bank
4262534,"Cadence Bank, N.A."
656377,"Washington Federal Bank, National Association"
2354985,Customers Bank
814430,City National Bank Of Florida
671464,Bank Of Hope
1225761,Wells Fargo National Bank West
122854,Independent Bank
2634191,Glacier Bank
456045,Centennial Bank
645625,"Wesbanco Bank, Inc."
659855,First Interstate Bank
249612,Apple Bank For Savings
2590037,"State Farm Bank, F.S.B."
